idx,x,y,N,rho
6,1.783372597,-1.68452699,100,-0.9
7,0.681295502,-0.615505716,100,-0.9
8,-1.279841743,1.810983069,100,-0.9
9,-0.220164181,3.53E-05,100,-0.9
10,-0.942395196,0.922347162,100,-0.9
11,0.440331362,-0.601730319,100,-0.9
12,-1.746530514,1.672488629,100,-0.9
13,0.092441424,-0.375109022,100,-0.9
14,0.327649179,0.530805398,100,-0.9
15,-0.434609125,0.364868541,100,-0.9
16,-0.555981896,0.218118022,100,-0.9
17,0.08020556,0.080463523,100,-0.9
18,-0.227512812,0.591500638,100,-0.9
19,0.595519551,-0.306045956,100,-0.9
20,-0.34573318,0.597164399,100,-0.9
21,0.379480774,-0.449126196,100,-0.9
22,0.113234632,0.06878094,100,-0.9
23,0.300523924,-0.443517357,100,-0.9
24,0.676286426,-0.414693474,100,-0.9
25,0.343447544,-0.920935782,100,-0.9
26,-0.423773613,-0.846981471,100,-0.9
27,0.556325468,-1.686248895,100,-0.9
28,-0.483607152,0.71589351,100,-0.9
29,-0.526430505,0.022755547,100,-0.9
30,-1.7488602,1.401579599,100,-0.9
31,-0.529760095,-0.146867536,100,-0.9
32,0.889579823,-0.301665615,100,-0.9
33,1.121160676,-1.236614122,100,-0.9
34,-1.831632452,1.220506003,100,-0.9
35,-0.982104498,0.905864746,100,-0.9
36,-0.983136355,0.839788408,100,-0.9
37,0.058507542,0.583401242,100,-0.9
38,1.045153791,-0.97433606,100,-0.9
39,-0.189198561,0.966585563,100,-0.9
40,0.109928739,-0.400377834,100,-0.9
41,1.634001771,-0.513791501,100,-0.9
42,-1.220497132,1.901428423,100,-0.9
43,0.558027799,-0.54773921,100,-0.9
44,0.399567662,-0.855954238,100,-0.9
45,0.61905709,0.100963234,100,-0.9
46,-1.669652997,1.538072293,100,-0.9
47,0.637629082,-0.38196189,100,-0.9
48,0.454830911,-0.220790252,100,-0.9
49,1.858837212,-2.009800554,100,-0.9
50,1.393852858,-1.162031141,100,-0.9
51,-0.034558548,-0.181449698,100,-0.9
52,-0.950251812,0.895122052,100,-0.9
53,0.633849531,-0.205395165,100,-0.9
54,0.184042838,0.081654673,100,-0.9
55,0.037337194,-0.337793307,100,-0.9
56,0.491308744,-0.457538113,100,-0.9
57,-0.426431671,0.996181796,100,-0.9
58,-1.321255506,0.982353436,100,-0.9
59,-0.037452673,-0.142205908,100,-0.9
60,0.19048115,-0.745549393,100,-0.9
61,-0.087571113,-0.243972482,100,-0.9
62,-0.34076858,0.635433299,100,-0.9
63,-0.115264092,-0.387221382,100,-0.9
64,0.615409528,-0.642596271,100,-0.9
65,0.393886099,-0.566382929,100,-0.9
66,-0.758755714,0.686113881,100,-0.9
67,0.59836414,0.146354208,100,-0.9
68,0.587395753,0.067400966,100,-0.9
69,-0.327997698,0.667630733,100,-0.9
70,0.374737202,0.022650662,100,-0.9
71,0.198132396,0.680932177,100,-0.9
72,0.589985592,-0.68730524,100,-0.9
73,3.216848177,-3.09700412,100,-0.9
74,-0.820600363,-0.080471808,100,-0.9
75,-0.537930045,0.907901464,100,-0.9
76,-0.734131339,0.669546062,100,-0.9
77,-0.823413565,0.495020117,100,-0.9
78,-1.805095595,1.451184934,100,-0.9
79,1.138860577,-0.937458269,100,-0.9
80,-1.470182122,0.824345526,100,-0.9
81,-0.863951336,0.601240152,100,-0.9
82,0.671682119,-1.060857725,100,-0.9
83,-0.824309418,0.419834091,100,-0.9
84,0.558177506,-0.259903091,100,-0.9
85,1.251818909,-0.607041016,100,-0.9
86,-0.87776062,0.862422071,100,-0.9
87,-1.042000599,0.844140687,100,-0.9
88,-0.158850679,0.841584367,100,-0.9
89,-0.248434249,-0.288617348,100,-0.9
90,1.948163283,-1.508117722,100,-0.9
91,1.019905075,-1.346257374,100,-0.9
92,-0.506011862,0.65621077,100,-0.9
93,1.516936437,-1.054178222,100,-0.9
94,1.213853248,-1.240112697,100,-0.9
95,-1.226655928,0.065936507,100,-0.9
96,-0.242145779,0.537511066,100,-0.9
97,-0.01059929,-0.043371769,100,-0.9
98,-1.187974296,0.94298069,100,-0.9
99,-0.222689042,-0.277652908,100,-0.9
0,0.514279102,-0.291038971,100,-0.5
1,0.299371309,-0.620945811,100,-0.5
2,-1.246352198,0.83491874,100,-0.5
3,-0.516060304,0.380309468,100,-0.5
4,-0.146576459,0.007977418,100,-0.5
5,-2.03312647,1.075502111,100,-0.5
6,-2.533862291,0.815089609,100,-0.5
7,1.346035684,-1.48099223,100,-0.5
8,1.414259097,-0.781053376,100,-0.5
9,0.159520315,-1.344944656,100,-0.5
10,1.056731876,-1.079556581,100,-0.5
11,-1.48592065,-0.027493487,100,-0.5
12,-0.518405641,0.938236909,100,-0.5
13,-0.492255607,1.265349585,100,-0.5
14,-0.854664087,-0.252913008,100,-0.5
15,0.000617092,0.868084205,100,-0.5
16,-0.101028631,-0.274387283,100,-0.5
17,1.976529685,-0.737588809,100,-0.5
18,0.164427836,0.202231905,100,-0.5
19,0.478996368,-1.697908285,100,-0.5
20,-0.570716954,1.163719241,100,-0.5
21,0.577253811,-0.375603538,100,-0.5
22,0.679128304,-0.955687426,100,-0.5
23,-1.106768569,0.664594109,100,-0.5
24,-0.417841369,0.669621527,100,-0.5
25,0.417320443,0.252666371,100,-0.5
26,-0.601117012,-0.716177247,100,-0.5
27,-1.214514707,-0.807060593,100,-0.5
28,-0.999207495,0.930073787,100,-0.5
29,-0.618607744,2.26986399,100,-0.5
30,-0.594713126,-1.60927989,100,-0.5
31,-0.23875408,1.727364744,100,-0.5
32,0.265676507,0.552501359,100,-0.5
33,0.873219407,0.749478195,100,-0.5
34,0.548153988,-0.120821279,100,-0.5
35,0.001037299,1.124714306,100,-0.5
36,-0.277734946,0.586374082,100,-0.5
37,-0.380139835,1.215964135,100,-0.5
38,-0.70034986,-0.278599636,100,-0.5
39,0.16662771,0.515213462,100,-0.5
40,-0.453671215,0.356137466,100,-0.5
41,0.111031271,-1.196945272,100,-0.5
42,-1.198961956,-1.449658394,100,-0.5
43,-1.511701993,-0.072212908,100,-0.5
44,-0.980375683,0.298682829,100,-0.5
45,0.506361008,0.355447708,100,-0.5
46,0.380318293,-2.189857135,100,-0.5
47,1.4244843,-2.443733199,100,-0.5
48,-1.414369368,0.812022641,100,-0.5
49,-0.662341038,1.07162742,100,-0.5
50,0.88308213,-0.565833848,100,-0.5
51,0.848639531,-0.137407928,100,-0.5
52,-0.373158545,-1.35322066,100,-0.5
53,0.662628168,-0.55813031,100,-0.5
54,0.227738877,1.373038339,100,-0.5
55,1.605536323,1.260311589,100,-0.5
56,0.765756129,-1.333295943,100,-0.5
57,0.065880284,-0.968062967,100,-0.5
58,0.472979839,-0.195757274,100,-0.5
59,0.636790598,-0.01317608,100,-0.5
60,0.004836363,0.135813924,100,-0.5
61,-0.905793436,1.013979138,100,-0.5
62,0.341439571,1.044529237,100,-0.5
63,0.301078937,0.857684969,100,-0.5
64,-0.036338041,-0.772167303,100,-0.5
65,1.031228044,-1.638110755,100,-0.5
66,-0.114845084,0.334718807,100,-0.5
67,0.142197369,-0.526973432,100,-0.5
68,-0.867816905,1.199833074,100,-0.5
69,0.271530673,-1.415412693,100,-0.5
70,0.931752166,-1.664355073,100,-0.5
71,-1.257540998,0.778309466,100,-0.5
72,0.641970906,-0.084189776,100,-0.5
73,-0.381470301,2.658593288,100,-0.5
74,-2.337142692,2.682836813,100,-0.5
75,-0.00146258,-0.853005092,100,-0.5
76,0.570652439,0.540189972,100,-0.5
77,0.865599922,0.768737705,100,-0.5
78,-0.130121899,-0.419929223,100,-0.5
79,-0.219295199,0.122905423,100,-0.5
80,-1.04542817,1.902192619,100,-0.5
81,-0.331679751,-0.718648972,100,-0.5
82,1.45183086,-0.269483724,100,-0.5
83,1.962132735,-1.143479748,100,-0.5
84,0.700637544,0.531714192,100,-0.5
85,-1.563316381,0.511797164,100,-0.5
86,-0.097068038,-0.545405775,100,-0.5
87,0.66019528,-2.321513574,100,-0.5
88,2.196553261,-0.830183374,100,-0.5
89,-0.662010213,-1.219813248,100,-0.5
90,-0.992128724,1.575532484,100,-0.5
91,-0.346583908,-1.140168375,100,-0.5
92,-0.839147505,0.304861346,100,-0.5
93,0.285273258,0.954783814,100,-0.5
94,-0.576537668,1.096110903,100,-0.5
95,2.219172664,-1.378476756,100,-0.5
96,-0.170920228,-1.368869026,100,-0.5
97,0.462201755,0.159934214,100,-0.5
98,-0.220882132,0.426479999,100,-0.5
99,2.770131354,0.300874139,100,-0.5
0,-0.051578302,0.974718699,100,0.5
1,1.6050944,0.466751391,100,0.5
2,0.485621798,2.015612961,100,0.5
3,-0.201744682,0.012909669,100,0.5
4,0.821425279,0.405477759,100,0.5
5,0.355276499,-2.178990014,100,0.5
6,0.144880441,-0.722615121,100,0.5
7,0.047879776,0.456068207,100,0.5
8,-2.356952624,-2.662523775,100,0.5
9,-0.134439565,0.221318668,100,0.5
10,0.088060592,-0.038937784,100,0.5
11,-0.03827946,-1.23797665,100,0.5
12,0.66541927,-0.548298408,100,0.5
13,1.525075806,1.612168356,100,0.5
14,0.322260082,-0.278468419,100,0.5
15,-2.294086241,-2.455650028,100,0.5
16,-0.243772056,0.837400316,100,0.5
17,-0.629441905,-1.283262727,100,0.5
18,-1.971117397,-0.385753172,100,0.5
19,0.46244702,0.670228823,100,0.5
20,1.318464904,0.672662778,100,0.5
21,-1.260895043,-0.996962344,100,0.5
22,-0.716735705,-0.721799744,100,0.5
23,0.443338983,-0.863895538,100,0.5
24,2.049222179,0.176880853,100,0.5
25,0.922616967,1.297743873,100,0.5
26,-1.070359882,-0.424897877,100,0.5
27,0.206756653,0.437816373,100,0.5
28,-1.545495012,-0.953883791,100,0.5
29,-2.035914143,-0.354349155,100,0.5
30,0.347550117,0.895701844,100,0.5
31,0.038008094,-0.257132118,100,0.5
32,-0.549368612,-0.381984945,100,0.5
33,0.030275424,-0.983393224,100,0.5
34,1.513732074,1.667728539,100,0.5
35,-0.1017183,1.358344404,100,0.5
36,-0.739086853,-0.947397057,100,0.5
37,-1.374721835,-1.17773641,100,0.5
38,0.68783337,0.235760946,100,0.5
39,0.74127564,0.937481988,100,0.5
40,1.742012534,0.179284469,100,0.5
41,-1.173801144,0.743448985,100,0.5
42,2.142504521,1.324037932,100,0.5
43,-0.465426749,0.00300848,100,0.5
44,1.572288129,0.72001013,100,0.5
45,0.86560176,1.096906263,100,0.5
46,-1.648485423,-2.281164304,100,0.5
47,0.067662901,0.211274276,100,0.5
48,1.613467883,1.501280691,100,0.5
49,-1.242557725,1.893811593,100,0.5
50,0.985054569,1.664451301,100,0.5
51,-0.746499892,0.666328691,100,0.5
52,0.250821828,1.238331894,100,0.5
53,-1.902340891,-1.467338429,100,0.5
54,-0.090417937,-0.456579252,100,0.5
55,0.540055285,-1.452916191,100,0.5
56,0.426201128,0.39192864,100,0.5
57,-1.804601011,-0.766150823,100,0.5
58,0.644482229,-1.408577231,100,0.5
59,-1.716392388,-2.245448215,100,0.5
60,-0.470945628,-0.541029273,100,0.5
61,1.079466282,0.488512451,100,0.5
62,0.377333768,0.014256748,100,0.5
63,1.718790448,0.458606134,100,0.5
64,-0.811341774,-1.117567678,100,0.5
65,0.465809673,0.597972469,100,0.5
66,0.137875174,0.925545982,100,0.5
67,-0.313486377,-0.106666387,100,0.5
68,1.031832705,1.188241779,100,0.5
69,1.305097605,0.110934356,100,0.5
70,0.261801706,1.034807276,100,0.5
71,-0.048257686,1.405664313,100,0.5
72,0.999199581,0.351367808,100,0.5
73,0.896961985,1.357750622,100,0.5
74,-0.024850301,-0.181142556,100,0.5
75,-0.260876872,0.32354238,100,0.5
76,0.148509467,-0.329350634,100,0.5
77,-0.573069593,-1.563442976,100,0.5
78,1.071446875,1.711194846,100,0.5
79,0.380737823,0.832062796,100,0.5
80,1.335529025,1.360105782,100,0.5
81,-0.263989308,-0.1425147,100,0.5
82,-1.217486111,-1.157699522,100,0.5
83,-0.928400694,0.400545495,100,0.5
84,-1.790421821,-1.518948928,100,0.5
85,-0.421242891,-1.054422705,100,0.5
86,0.683177647,0.097210358,100,0.5
87,1.144431642,-0.220862247,100,0.5
88,-0.247525805,0.398344068,100,0.5
89,-1.355854481,-1.026837412,100,0.5
90,-0.079479338,-0.205700771,100,0.5
91,-1.004015872,-2.571676823,100,0.5
92,1.661642616,1.87397128,100,0.5
93,-1.392858266,-2.126280989,100,0.5
94,0.159859005,1.025699886,100,0.5
95,-0.690011315,-0.114588065,100,0.5
96,0.326156662,1.899627924,100,0.5
97,0.527957271,-0.248416293,100,0.5
98,0.057304671,-0.57538018,100,0.5
99,-1.443244859,-0.106233663,100,0.5
0,1.007126493,1.568594391,100,0.9
1,-1.73342024,-1.046635456,100,0.9
2,-1.500219231,-1.343248043,100,0.9
3,-1.540922456,-1.526182226,100,0.9
4,1.298049605,1.029070669,100,0.9
5,-1.893622212,-1.73253673,100,0.9
6,-1.917397841,-2.55343911,100,0.9
7,1.592960575,0.820032401,100,0.9
8,0.737026821,0.2650377,100,0.9
9,-1.037732603,-0.661413485,100,0.9
10,1.031951197,0.315408972,100,0.9
11,0.22133573,0.422483986,100,0.9
12,0.458621472,1.033894809,100,0.9
13,-1.330866882,-1.544167592,100,0.9
14,0.950025287,0.369019685,100,0.9
15,0.621578562,0.514168305,100,0.9
16,0.225276877,0.046457593,100,0.9
17,-1.499783652,-1.496800179,100,0.9
18,0.977640753,0.927498117,100,0.9
19,0.031254191,0.019186292,100,0.9
20,0.689247236,0.819615612,100,0.9
21,-0.605650577,-0.828111046,100,0.9
22,-1.575514976,-1.568889439,100,0.9
23,0.988865556,1.097931913,100,0.9
24,-0.098179432,-0.524695486,100,0.9
25,-0.064586961,0.514854449,100,0.9
26,-1.182409369,-1.279340204,100,0.9
27,0.678751608,0.605369266,100,0.9
28,-0.110584516,0.148515099,100,0.9
29,0.760558242,0.823901748,100,0.9
30,0.566077618,0.264072815,100,0.9
31,0.8720604,1.219620799,100,0.9
32,-0.859210015,-0.541020625,100,0.9
33,-1.12264464,-0.757277641,100,0.9
34,0.618683011,-0.248415022,100,0.9
35,-0.457117502,-0.00785608,100,0.9
36,-1.283707549,-1.87625746,100,0.9
37,1.182644892,1.055402915,100,0.9
38,-0.387799081,-0.053946723,100,0.9
39,0.346775675,0.279693741,100,0.9
40,0.709111351,1.156097161,100,0.9
41,-0.433672471,-1.155603832,100,0.9
42,-0.671590038,-0.458138042,100,0.9
43,-0.589851516,-0.693244283,100,0.9
44,0.334512956,-0.067959919,100,0.9
45,1.336462407,2.266499865,100,0.9
46,0.262512693,0.347459944,100,0.9
47,-0.034578869,0.32322823,100,0.9
48,1.05611811,1.297411433,100,0.9
49,0.629215631,0.023473895,100,0.9
50,-0.139443505,-0.408754282,100,0.9
51,-0.542263752,-0.454416239,100,0.9
52,0.768239531,0.98273696,100,0.9
53,0.455690515,0.406336618,100,0.9
54,-1.223453612,-0.518741155,100,0.9
55,-0.700760694,-0.743508925,100,0.9
56,-0.209931791,0.161867475,100,0.9
57,-0.996162836,-1.352042157,100,0.9
58,0.838008442,0.662267929,100,0.9
59,1.892794912,1.904658958,100,0.9
60,-2.291303051,-2.077555467,100,0.9
61,1.626740664,1.050354424,100,0.9
62,0.54547415,1.057476076,100,0.9
63,-0.636703237,-0.589093627,100,0.9
64,-0.069764969,0.18029183,100,0.9
65,1.225775322,0.973069802,100,0.9
66,-0.443483224,-0.707798773,100,0.9
67,-1.200286495,-1.376014693,100,0.9
68,0.948674315,0.767864523,100,0.9
69,0.068139475,-0.555410732,100,0.9
70,0.10001122,-0.314254516,100,0.9
71,1.853403589,1.113123388,100,0.9
72,-1.029181005,-0.601731256,100,0.9
73,0.128999734,0.587372136,100,0.9
74,-0.356216031,0.648422359,100,0.9
75,-0.657317156,-0.312350498,100,0.9
76,1.040093418,0.222051384,100,0.9
77,1.385717673,1.200894774,100,0.9
78,-0.265784364,0.206068907,100,0.9
79,-0.348767268,-0.497759062,100,0.9
80,0.031794744,-0.730402657,100,0.9
81,-1.339101034,-0.120555316,100,0.9
82,0.714862809,0.381237824,100,0.9
83,0.043088095,0.104675025,100,0.9
84,0.422097201,0.638257128,100,0.9
85,1.074196044,0.586378027,100,0.9
86,0.795499674,0.67978337,100,0.9
87,-0.173074356,-0.323970243,100,0.9
88,1.18898517,0.619498088,100,0.9
89,-1.320099876,-1.179668057,100,0.9
90,-0.788038661,-0.968739003,100,0.9
91,0.60872431,0.543742809,100,0.9
92,0.225995447,0.374484742,100,0.9
93,-0.364717774,0.144108711,100,0.9
94,1.801880758,2.115947962,100,0.9
95,-0.162456163,-0.032895723,100,0.9
96,-0.063068631,-0.162288545,100,0.9
97,-1.601444454,-0.972366073,100,0.9
98,-0.178758187,-0.276994266,100,0.9
99,-0.936687405,-0.644483148,100,0.9
